week_number,2018,2019,2020,2021,2022,2023,2024,2025,2026
1,18,0,0,0,0,0,4,0.0,102.0
2,21,1,1,0,0,1,8,2.0,312.0
3,28,12,4,0,0,2,10,15.0,505.0
4,28,17,6,0,0,2,12,38.0,703.0
5,28,24,10,0,1,2,17,66.0,891.0
6,29,34,11,0,1,2,20,131.0,1019.0
7,30,52,11,0,2,2,34,207.0,1092.0
8,32,77,12,0,2,3,43,283.0,1178.0
9,37,107,12,0,2,3,49,362.0,1251.0
10,42,140,12,0,2,4,52,455.0,1433.0
11,50,150,12,0,2,5,64,557.0,1588.0
12,57,194,12,0,2,6,102,648.0,1687.0
13,62,228,12,0,2,7,111,755.0,1733.0
14,69,246,12,1,2,8,121,846.0,1762.0
15,77,353,12,1,2,10,125,912.0,1800.0
16,86,395,12,2,2,10,128,960.0,1834.0
17,92,508,12,2,2,10,132,1007.0,1872.0
18,99,545,12,2,2,11,132,1054.0,1899.0
19,100,560,12,2,3,11,136,1077.0,1923.0
20,102,595,12,2,3,13,141,1118.0,1942.0
21,104,715,12,2,3,15,146,1152.0,1986.0
22,104,824,12,2,3,17,152,1185.0,2049.0
23,106,871,12,2,5,18,152,1211.0,2081.0
24,109,940,12,2,6,18,156,1236.0,2107.0
25,112,963,12,2,6,18,160,1277.0,2130.0
26,117,1043,12,2,6,18,163,1297.0,2159.0
27,120,1103,12,2,6,18,170,1308.0,2211.0
28,130,1112,12,2,6,18,183,1317.0,
29,132,1115,12,2,6,18,194,1332.0,
30,134,1143,12,2,6,20,201,1349.0,
31,145,1160,12,2,6,20,213,1355.0,
32,147,1172,12,2,8,21,220,1371.0,
33,153,1192,12,2,10,21,229,1409.0,
34,156,1198,12,2,12,22,237,1433.0,
35,158,1219,12,4,14,22,248,1458.0,
36,158,1243,12,9,16,22,258,1487.0,
37,159,1244,12,22,20,25,261,1519.0,
38,159,1244,12,26,24,26,264,1536.0,
39,161,1248,12,43,26,31,265,1569.0,
40,162,1251,12,44,28,36,267,1581.0,
41,177,1254,12,49,30,37,268,1615.0,
42,188,1257,12,49,31,38,271,1640.0,
43,227,1262,12,49,37,38,272,1683.0,
44,245,1263,13,49,48,40,275,1703.0,
45,291,1264,13,49,57,41,279,1754.0,
46,311,1265,13,49,66,41,282,1786.0,
47,342,1267,13,49,91,41,282,1823.0,
48,359,1267,13,49,102,41,284,1862.0,
49,372,1274,13,49,113,43,284,1947.0,
50,380,1274,13,49,118,45,284,2017.0,
51,381,1274,13,49,121,48,284,2049.0,
52,381,1274,13,49,121,59,285,2267.0,
